i,id,time,hz,n,sd,ci,Mussel_ID,Rep,Length(mm),Time_Machine,Time_real,Sensor_ID,Line_ID,Beaker_ID,Group,P_Status,Status,Intensity,Note,bpm
2,Mussel_27,2025-06-24T10:15:00Z,0.428,5,0.707307429623074,1.38632256206123,G86,3,31,10:11-10:41,12:11-12:41,C,C7,23,Control,infected,infected,17,NA,25.68
2,Mussel_28,2025-06-24T10:15:00Z,0.284,5,0.108898117522756,0.213440310344602,B56,3,34.6,10:11-10:41,12:11-12:41,C,C8,24,Control,uninfected,uninfected,0,NA,17.04
3,Mussel_21,2025-06-24T10:20:00Z,0.533,5,0.170658137807724,0.334489950103138,G23,3,30,10:11-10:41,12:11-12:41,C,C1,17,CM,infected,infected,23,NA,31.98
3,Mussel_22,2025-06-24T10:20:00Z,0.603,5,0.0362463791295075,0.0710429030938348,B91,3,30.8,10:11-10:41,12:11-12:41,C,C2,18,CM,uninfected,uninfected,0,NA,36.18
3,Mussel_23,2025-06-24T10:20:00Z,0.393,5,0.0575412895232632,0.112780927465596,G12,3,33.4,10:11-10:41,12:11-12:41,C,C3,19,HS,infected,infected,37,NA,23.580000000000002
3,Mussel_24,2025-06-24T10:20:00Z,0.576,5,0.0188202019117756,0.0368875957470801,B38,3,30.9,10:11-10:41,12:11-12:41,C,C4,20,HS,uninfected,uninfected,0,NA,34.559999999999995
3,Mussel_25,2025-06-24T10:20:00Z,0.346,5,0.115031734751763,0.225462200113456,G68,3,32.1,10:11-10:41,12:11-12:41,C,C5,21,HT,infected,infected,4,NA,20.759999999999998
3,Mussel_26,2025-06-24T10:20:00Z,0.532,5,0.188485277939684,0.369431144761781,B18,3,30.2,10:11-10:41,12:11-12:41,C,C6,22,HT,uninfected,uninfected,0,NA,31.92
3,Mussel_27,2025-06-24T10:20:00Z,0.19,5,0.164852964789839,0.323111810988085,G86,3,31,10:11-10:41,12:11-12:41,C,C7,23,Control,infected,infected,17,NA,11.4
3,Mussel_28,2025-06-24T10:20:00Z,0.351,5,0.12798710872584,0.250854733102646,B56,3,34.6,10:11-10:41,12:11-12:41,C,C8,24,Control,uninfected,uninfected,0,NA,21.06
4,Mussel_21,2025-06-24T10:25:00Z,0.496,5,0.0296681647561827,0.0581496029221181,G23,3,30,10:11-10:41,12:11-12:41,C,C1,17,CM,infected,infected,23,NA,29.759999999999998
4,Mussel_22,2025-06-24T10:25:00Z,0.501,5,0.031524593573906697,0.0617882034048572,B91,3,30.8,10:11-10:41,12:11-12:41,C,C2,18,CM,uninfected,uninfected,0,NA,30.06
4,Mussel_23,2025-06-24T10:25:00Z,0.427,5,0.144413642014873,0.283050738349152,G12,3,33.4,10:11-10:41,12:11-12:41,C,C3,19,HS,infected,infected,37,NA,25.62
4,Mussel_24,2025-06-24T10:25:00Z,0.599,5,0.034554305086342,0.0677264379692303,B38,3,30.9,10:11-10:41,12:11-12:41,C,C4,20,HS,uninfected,uninfected,0,NA,35.94
4,Mussel_25,2025-06-24T10:25:00Z,0.482,5,0.0270702789051018,0.0530577466539996,G68,3,32.1,10:11-10:41,12:11-12:41,C,C5,21,HT,infected,infected,4,NA,28.919999999999998
4,Mussel_26,2025-06-24T10:25:00Z,0.537,5,0.0203051717549988,0.0397981366397976,B18,3,30.2,10:11-10:41,12:11-12:41,C,C6,22,HT,uninfected,uninfected,0,NA,32.22
4,Mussel_27,2025-06-24T10:25:00Z,0.59,5,0.0195243437789853,0.0382677138068111,G86,3,31,10:11-10:41,12:11-12:41,C,C7,23,Control,infected,infected,17,NA,35.4
4,Mussel_28,2025-06-24T10:25:00Z,0.345,5,0.0796291403947073,0.156073115173626,B56,3,34.6,10:11-10:41,12:11-12:41,C,C8,24,Control,uninfected,uninfected,0,NA,20.7
5,Mussel_21,2025-06-24T10:30:00Z,0.478,5,0.0733259844802646,0.143718929581319,G23,3,30,10:11-10:41,12:11-12:41,C,C1,17,CM,infected,infected,23,NA,28.68
5,Mussel_22,2025-06-24T10:30:00Z,0.498,5,0.0150565600320923,0.029510857662901,B91,3,30.8,10:11-10:41,12:11-12:41,C,C2,18,CM,uninfected,uninfected,0,NA,29.88
5,Mussel_23,2025-06-24T10:30:00Z,0.353,5,0.0647942898718707,0.126996808148866,G12,3,33.4,10:11-10:41,12:11-12:41,C,C3,19,HS,infected,infected,37,NA,21.18
5,Mussel_24,2025-06-24T10:30:00Z,0.578,5,0.145028617865578,0.284256091016534,B38,3,30.9,10:11-10:41,12:11-12:41,C,C4,20,HS,uninfected,uninfected,0,NA,34.68
5,Mussel_25,2025-06-24T10:30:00Z,0.496,5,0.0303693924865151,0.0595240092735696,G68,3,32.1,10:11-10:41,12:11-12:41,C,C5,21,HT,infected,infected,4,NA,29.759999999999998
5,Mussel_26,2025-06-24T10:30:00Z,0.459,5,0.104143170683439,0.204120614539541,B18,3,30.2,10:11-10:41,12:11-12:41,C,C6,22,HT,uninfected,uninfected,0,NA,27.540000000000003
5,Mussel_27,2025-06-24T10:30:00Z,0.533,5,0.232193453826761,0.455099169500451,G86,3,31,10:11-10:41,12:11-12:41,C,C7,23,Control,infected,infected,17,NA,31.98
