Mussel_ID;Rep;ArenaID;Byssus;Byssus_Threads;Start_Time;Aggregated;Type;Amax (%);k;Time;Cluster_Score;Group;Byssus_Threads;Length(mm);P_Status;Status;Intensity;Notes
B23;3;HTA;13;0;15;yes;sustained;52,98;17,62;11:39-13:39;;HT;0;30.8;uninfected;uninfected;0;
B9;3;HTA;13;2;15;yes;sustained;52,98;17,62;11:39-13:39;;HT;2;36;uninfected;uninfected;0;
P14;3;HTA;13;3;15;yes;sustained;52,98;17,62;11:39-13:39;;HT;3;33.9;uninfected;uninfected;0;
P40;3;HTA;13;2;15;yes;sustained;52,98;17,62;11:39-13:39;;HT;2;28.8;uninfected;uninfected;0;
P78;3;HTA;13;0;15;yes;sustained;52,98;17,62;11:39-13:39;;HT;0;38.9;uninfected;uninfected;0;
P83;3;HTA;13;5;15;yes;sustained;52,98;17,62;11:39-13:39;;HT;5;31.1;uninfected;uninfected;0;
P86;3;HTA;13;1;15;yes;sustained;52,98;17,62;11:39-13:39;;HT;1;33.8;uninfected;uninfected;0;
G47;3;HTB;4;1;NA;no;NA;NA;NA;11:39-13:39;;HT;1;32;infected;infected;31;
G6;3;HTB;4;0;NA;no;NA;NA;NA;11:39-13:39;;HT;0;28.6;infected;infected;22;
G66;3;HTB;4;3;NA;no;NA;NA;NA;11:39-13:39;;HT;3;36.5;infected;infected;6;
G7;3;HTB;4;0;NA;no;NA;NA;NA;11:39-13:39;;HT;0;34.2;infected;infected;2;
Y13;3;HTB;4;0;NA;no;NA;NA;NA;11:39-13:39;;HT;0;31.6;infected;infected;6;
Y6;3;HTB;4;0;NA;no;NA;NA;NA;11:39-13:39;;HT;0;29.8;infected;infected;12;
Y94;3;HTB;4;0;NA;no;NA;NA;NA;11:39-13:39;;HT;0;32.8;infected;infected;9;
B45;4;CM1;5;0;6;yes;sustained;52,98;17,62;12:33-14:33;;CM;0;32;uninfected;uninfected;0;
B56;4;CM1;5;0;6;yes;sustained;52,98;17,62;12:33-14:33;;CM;0;34.6;uninfected;uninfected;0;
B69;4;CM1;5;0;6;yes;sustained;52,98;17,62;12:33-14:33;;CM;0;31.2;uninfected;uninfected;0;
B71;4;CM1;5;0;6;yes;sustained;52,98;17,62;12:33-14:33;;CM;0;30.8;uninfected;uninfected;0;
B8;4;CM1;5;0;6;yes;sustained;52,98;17,62;12:33-14:33;;CM;0;36.1;uninfected;uninfected;0;
P70;4;CM1;5;5;6;yes;sustained;52,98;17,62;12:33-14:33;;CM;5;34;uninfected;uninfected;0;
P75;4;CM1;5;0;6;yes;sustained;52,98;17,62;12:33-14:33;;CM;0;38.8;uninfected;uninfected;0;
G17;4;CM2;8;4;32;yes;sustained;57,14;36,6;12:33-14:33;;CM;4;32;infected;infected;12;
G35;4;CM2;8;2;32;yes;sustained;57,14;36,6;12:33-14:33;;CM;2;34.2;infected;infected;30;
G59;4;CM2;8;0;32;yes;sustained;57,14;36,6;12:33-14:33;;CM;0;33;infected;infected;26;
G73;4;CM2;8;0;32;yes;sustained;57,14;36,6;12:33-14:33;;CM;0;31;infected;infected;14;
G80;4;CM2;8;0;32;yes;sustained;57,14;36,6;12:33-14:33;;CM;0;32;infected;infected;7;
Y43;4;CM2;8;2;32;yes;sustained;57,14;36,6;12:33-14:33;;CM;2;29;infected;infected;23;
Y53;4;CM2;8;0;32;yes;sustained;57,14;36,6;12:33-14:33;;CM;0;30.4;infected;infected;2;
B41;4;Control1;0;0;40;yes;sustained;67,89;124,28;12:33-14:33;;Control;0;35;uninfected;uninfected;0;
B66;4;Control1;0;0;40;yes;sustained;67,89;124,28;12:33-14:33;;Control;0;33.5;uninfected;uninfected;0;
B77;4;Control1;0;0;40;yes;sustained;67,89;124,28;12:33-14:33;;Control;0;28.6;uninfected;uninfected;0;
P11;4;Control1;0;0;40;yes;sustained;67,89;124,28;12:33-14:33;;Control;0;34;uninfected;uninfected;0;
P15;4;Control1;0;0;40;yes;sustained;67,89;124,28;12:33-14:33;;Control;0;35.3;uninfected;uninfected;0;
P45;4;Control1;0;0;40;yes;sustained;67,89;124,28;12:33-14:33;;Control;0;33.7;uninfected;uninfected;0;
P61;4;Control1;0;0;40;yes;sustained;67,89;124,28;12:33-14:33;;Control;0;33.5;uninfected;uninfected;0;
G28;4;Control2;1;0;NA;no;NA;NA;NA;12:33-14:33;;Control;0;31.1;infected;infected;17;
G63;4;Control2;1;0;NA;no;NA;NA;NA;12:33-14:33;;Control;0;33.4;infected;infected;3;
G65;4;Control2;1;0;NA;no;NA;NA;NA;12:33-14:33;;Control;0;31.2;infected;infected;8;
G92;4;Control2;1;0;NA;no;NA;NA;NA;12:33-14:33;;Control;0;33.5;infected;infected;70;
Y23;4;Control2;1;0;NA;no;NA;NA;NA;12:33-14:33;;Control;0;34.8;infected;infected;8;
Y28;4;Control2;1;0;NA;no;NA;NA;NA;12:33-14:33;;Control;0;33.2;infected;infected;4;
Y72;4;Control2;1;1;NA;no;NA;NA;NA;12:33-14:33;;Control;1;30.4;infected;infected;27;
G78;4;HS1;2;0;NA;no;NA;NA;NA;12:33-14:33;;HS;0;26.4;infected;infected;19;
G9;4;HS1;2;2;NA;no;NA;NA;NA;12:33-14:33;;HS;2;31;infected;infected;4;
Y24;4;HS1;2;0;NA;no;NA;NA;NA;12:33-14:33;;HS;0;34.5;infected;infected;12;
Y25;4;HS1;2;0;NA;no;NA;NA;NA;12:33-14:33;;HS;0;32.7;infected;infected;33;
Y29;4;HS1;2;0;NA;no;NA;NA;NA;12:33-14:33;;HS;0;34.3;infected;infected;15;
Y64;4;HS1;2;0;NA;no;NA;NA;NA;12:33-14:33;;HS;0;35.7;infected;infected;18;
Y76;4;HS1;2;0;NA;no;NA;NA;NA;12:33-14:33;;HS;0;27.5;infected;infected;8;
B33;4;HS2;3;0;18;yes;sustained;32,51;9,26;12:33-14:33;;HS;0;27.3;uninfected;uninfected;0;
B53;4;HS2;3;1;18;yes;sustained;32,51;9,26;12:33-14:33;;HS;1;29.2;uninfected;uninfected;0;
B6;4;HS2;3;0;18;yes;sustained;32,51;9,26;12:33-14:33;;HS;0;36.9;uninfected;uninfected;0;
B64;4;HS2;3;1;18;yes;sustained;32,51;9,26;12:33-14:33;;HS;1;38.2;uninfected;uninfected;0;
B70;4;HS2;3;0;18;yes;sustained;32,51;9,26;12:33-14:33;;HS;0;30.9;uninfected;uninfected;0;
P32;4;HS2;3;1;18;yes;sustained;32,51;9,26;12:33-14:33;;HS;1;30.3;uninfected;uninfected;0;
P91;4;HS2;3;0;18;yes;sustained;32,51;9,26;12:33-14:33;;HS;0;38.2;uninfected;uninfected;0;
G12;4;HT1;5;0;11;yes;sustained;53,79;79,01;12:33-14:33;;HT;0;33.4;infected;infected;37;
G16;4;HT1;5;0;11;yes;sustained;53,79;79,01;12:33-14:33;;HT;0;33.5;infected;infected;6;
G26;4;HT1;5;2;11;yes;sustained;53,79;79,01;12:33-14:33;;HT;2;33.6;infected;infected;4;
G34;4;HT1;5;0;11;yes;sustained;53,79;79,01;12:33-14:33;;HT;0;26.9;infected;infected;13;
G91;4;HT1;5;0;11;yes;sustained;53,79;79,01;12:33-14:33;;HT;0;36.6;infected;infected;10;
Y56;4;HT1;5;2;11;yes;sustained;53,79;79,01;12:33-14:33;;HT;2;32;infected;infected;31;
Y71;4;HT1;5;1;11;yes;sustained;53,79;79,01;12:33-14:33;;HT;1;35.8;infected;infected;9;
B67;4;HT2;24;2;9;yes;sustained;84,48;12,29;12:33-14:33;;HT;2;33.2;uninfected;uninfected;0;
B7;4;HT2;24;6;9;yes;sustained;84,48;12,29;12:33-14:33;;HT;6;28.9;uninfected;uninfected;0;
B78;4;HT2;24;3;9;yes;sustained;84,48;12,29;12:33-14:33;;HT;3;34.2;uninfected;uninfected;0;
P26;4;HT2;24;0;9;yes;sustained;84,48;12,29;12:33-14:33;;HT;0;34;uninfected;uninfected;0;
P8;4;HT2;24;3;9;yes;sustained;84,48;12,29;12:33-14:33;;HT;3;34.2;uninfected;uninfected;0;
P96;4;HT2;24;7;9;yes;sustained;84,48;12,29;12:33-14:33;;HT;7;36.2;uninfected;uninfected;0;
P99;4;HT2;24;3;9;yes;sustained;84,48;12,29;12:33-14:33;;HT;3;36.7;uninfected;uninfected;0;
B16;5;CMA;11;3;14;yes;sustained;56,3;26,21;15:28-17:28;;CM;3;30.6;uninfected;uninfected;0;
B19;5;CMA;11;0;14;yes;sustained;56,3;26,21;15:28-17:28;;CM;0;32.2;uninfected;uninfected;0;
B20;5;CMA;11;0;14;yes;sustained;56,3;26,21;15:28-17:28;;CM;0;38.3;uninfected;uninfected;0;
B98;5;CMA;11;2;14;yes;sustained;56,3;26,21;15:28-17:28;;CM;2;32.6;uninfected;uninfected;0;
P20;5;CMA;11;4;14;yes;sustained;56,3;26,21;15:28-17:28;;CM;4;27.7;uninfected;uninfected;0;
P24;5;CMA;11;0;14;yes;sustained;56,3;26,21;15:28-17:28;;CM;0;35.9;uninfected;uninfected;0;
P67;5;CMA;11;2;14;yes;sustained;56,3;26,21;15:28-17:28;;CM;2;32.9;uninfected;uninfected;0;
G24;5;CMB;0;0;45;yes;sustained;74,1;141;15:28-17:28;;CM;0;35;infected;infected;14;
