Arena ID;Rep;Group;Time;Start_Time (min);Time;A(t);P_Status;Status;Notes
HT2;2;HT;11:35-13:35;;50;28,57%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;55;28,57%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;60;28,57%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;65;28,57%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;70;28,57%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;75;28,57%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;80;28,57%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;85;28,57%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;90;28,57%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;95;57,14%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;100;57,14%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;105;57,14%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;110;57,14%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;115;57,14%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;120;57,14%;uninfected;uninfected;
CMA;3;CM;11:39-13:39;NA;5;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;10;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;15;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;20;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;25;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;30;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;35;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;40;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;45;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;50;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;55;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;60;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;65;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;70;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;75;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;80;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;85;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;90;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;95;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;100;0,00%;infected;infected;
CMA;3;CM;11:39-13:39;;105;0,00%;infected;infected;
